id,name,start_time,end_time,unique_number_for_org
1691,report691,2021-06-30 00:00:00,2022-09-01 00:00:00,N0.7012007542114114
1692,report692,2021-03-30 00:00:00,2022-12-31 00:00:00,N0.4168056845530219
1693,report693,2021-05-11 00:00:00,2022-07-28 00:00:00,N0.508892499342339
1694,report694,2021-02-01 00:00:00,2022-03-07 00:00:00,N0.9919457967736764
1695,report695,2021-10-02 00:00:00,2022-11-07 00:00:00,N0.4153663041547727
1696,report696,2021-01-22 00:00:00,2022-09-30 00:00:00,N0.37850921578993
1697,report697,2021-05-23 00:00:00,2022-01-28 00:00:00,N0.05172911147665926
1698,report698,2021-07-17 00:00:00,2022-05-03 00:00:00,N0.2453703802543784
1699,report699,2021-06-25 00:00:00,2022-10-23 00:00:00,N0.341568183417152
1700,report700,2021-08-25 00:00:00,2022-01-25 00:00:00,N0.8272206085054259
1701,report701,2021-12-13 00:00:00,2022-10-23 00:00:00,N0.5224903894263753
1702,report702,2021-05-20 00:00:00,2022-02-13 00:00:00,N0.8061121856169402
1703,report703,2021-05-23 00:00:00,2022-12-23 00:00:00,N0.20520523555727443
1704,report704,2021-10-27 00:00:00,2022-03-24 00:00:00,N0.6109023764320286
1705,report705,2021-10-03 00:00:00,2022-07-23 00:00:00,N0.31333683026081083
1706,report706,2021-12-19 00:00:00,2022-09-16 00:00:00,N0.3116754796197495
1707,report707,2021-09-25 00:00:00,2022-10-27 00:00:00,N0.53075011624109
1708,report708,2021-09-11 00:00:00,2022-05-08 00:00:00,N0.3695573205908802
1709,report709,2021-04-03 00:00:00,2022-12-13 00:00:00,N0.9977623760472851
1710,report710,2021-07-15 00:00:00,2022-05-07 00:00:00,N0.7039322625460183
1711,report711,2021-11-26 00:00:00,2022-10-23 00:00:00,N0.38932799513272076
1712,report712,2021-04-15 00:00:00,2022-11-09 00:00:00,N0.3011857965699132
1713,report713,2021-02-12 00:00:00,2022-08-23 00:00:00,N0.9795429060837061
1714,report714,2021-04-29 00:00:00,2022-10-22 00:00:00,N0.05018704512394001
1715,report715,2021-10-06 00:00:00,2022-11-18 00:00:00,N0.10911566798389494
1716,report716,2021-04-08 00:00:00,2022-09-02 00:00:00,N0.8942563423919927
1717,report717,2021-07-15 00:00:00,2022-12-02 00:00:00,N0.43580783036907333
1718,report718,2021-08-12 00:00:00,2022-12-16 00:00:00,N0.23079945961727266
1719,report719,2021-02-27 00:00:00,2022-02-12 00:00:00,N0.9596959880310582
1720,report720,2021-05-31 00:00:00,2022-08-03 00:00:00,N0.43025992776970967
1721,report721,2021-03-01 00:00:00,2022-04-13 00:00:00,N0.674064983734151
1722,report722,2021-06-22 00:00:00,2022-10-04 00:00:00,N0.11556771072757677
1723,report723,2021-07-28 00:00:00,2022-08-09 00:00:00,N0.03956177101448477
1724,report724,2021-03-30 00:00:00,2022-04-29 00:00:00,N0.9636118830854402
1725,report725,2021-04-30 00:00:00,2022-09-06 00:00:00,N0.3407040582795646
1726,report726,2021-02-24 00:00:00,2022-05-12 00:00:00,N0.7613403910866909
1727,report727,2021-04-20 00:00:00,2022-07-03 00:00:00,N0.9580436841996164
1728,report728,2021-07-27 00:00:00,2022-03-05 00:00:00,N0.7543197234399628
1729,report729,2021-05-27 00:00:00,2022-01-11 00:00:00,N0.9110245574981197
1730,report730,2021-10-25 00:00:00,2022-05-05 00:00:00,N0.0747900164436196
1731,report731,2021-04-26 00:00:00,2022-02-22 00:00:00,N0.31113354593747644
1732,report732,2021-05-14 00:00:00,2022-07-23 00:00:00,N0.5556387770281906
1733,report733,2021-10-13 00:00:00,2022-06-04 00:00:00,N0.36611853648820225
1734,report734,2021-09-27 00:00:00,2022-04-11 00:00:00,N0.631006298007455
1735,report735,2021-11-14 00:00:00,2022-06-12 00:00:00,N0.5277455915943259
1736,report736,2021-10-01 00:00:00,2022-09-17 00:00:00,N0.4647015157114075
1737,report737,2021-05-14 00:00:00,2022-11-11 00:00:00,N0.7343096624439747
1738,report738,2021-12-27 00:00:00,2022-03-03 00:00:00,N0.015333699170403614
1739,report739,2021-07-15 00:00:00,2022-08-03 00:00:00,N0.8847322149075048
1740,report740,2021-12-28 00:00:00,2022-06-14 00:00:00,N0.5217527753362439
1741,report741,2021-11-25 00:00:00,2022-06-19 00:00:00,N0.5788709613451258
1742,report742,2021-02-15 00:00:00,2022-04-29 00:00:00,N0.051514643447650776
1743,report743,2021-09-27 00:00:00,2022-12-12 00:00:00,N0.7172747307472321
1744,report744,2021-02-13 00:00:00,2022-08-26 00:00:00,N0.41274010733081157
1745,report745,2021-09-15 00:00:00,2022-01-17 00:00:00,N0.3224479273203096
1746,report746,2021-11-12 00:00:00,2022-10-07 00:00:00,N0.13204847294474942
1747,report747,2021-04-20 00:00:00,2022-10-31 00:00:00,N0.5736351024664552
1748,report748,2021-04-18 00:00:00,2022-03-11 00:00:00,N0.8113770703964192
1749,report749,2021-01-31 00:00:00,2022-04-15 00:00:00,N0.48015869284417534
1750,report750,2021-04-12 00:00:00,2022-07-27 00:00:00,N0.4837941734183038
1751,report751,2021-07-16 00:00:00,2022-01-03 00:00:00,N0.8658375344346615
1752,report752,2021-06-08 00:00:00,2022-08-23 00:00:00,N0.9033141655887965
1753,report753,2021-01-14 00:00:00,2022-01-08 00:00:00,N0.4029799725136054
1754,report754,2021-02-17 00:00:00,2022-05-24 00:00:00,N0.5949819502844527
1755,report755,2021-10-09 00:00:00,2022-11-10 00:00:00,N0.4725314107562938
1756,report756,2021-07-10 00:00:00,2022-09-30 00:00:00,N0.9585066817302306
1757,report757,2021-07-19 00:00:00,2022-05-13 00:00:00,N0.16611700954096809
1758,report758,2021-02-28 00:00:00,2022-02-04 00:00:00,N0.8840144798784327
1759,report759,2021-09-30 00:00:00,2022-10-31 00:00:00,N0.4338117378011813
1760,report760,2021-12-07 00:00:00,2022-04-18 00:00:00,N0.8044023516723376
1761,report761,2021-05-03 00:00:00,2022-07-04 00:00:00,N0.1178901557389197
1762,report762,2021-04-11 00:00:00,2022-05-04 00:00:00,N0.9593379228121417
1763,report763,2021-03-25 00:00:00,2022-08-21 00:00:00,N0.40523763629589193
1764,report764,2021-05-18 00:00:00,2022-10-19 00:00:00,N0.5405027846518979
1765,report765,2021-09-10 00:00:00,2022-08-01 00:00:00,N0.7769320876192775
1766,report766,2021-06-20 00:00:00,2022-06-23 00:00:00,N0.6041798934222029
1767,report767,2021-02-08 00:00:00,2022-11-08 00:00:00,N0.7411955432539752
1768,report768,2021-06-25 00:00:00,2022-11-27 00:00:00,N0.7003370235230146
1769,report769,2021-12-24 00:00:00,2022-12-29 00:00:00,N0.14268047683204144
1770,report770,2021-05-22 00:00:00,2022-08-01 00:00:00,N0.4972633088334161
1771,report771,2021-07-12 00:00:00,2022-06-15 00:00:00,N0.18833783703957185
1772,report772,2021-02-06 00:00:00,2022-05-05 00:00:00,N0.9158085439097884
1773,report773,2021-04-10 00:00:00,2022-03-23 00:00:00,N0.045707209525221004
1774,report774,2021-07-26 00:00:00,2022-07-30 00:00:00,N0.783975887476518
1775,report775,2021-01-30 00:00:00,2022-03-17 00:00:00,N0.9302092666742784
1776,report776,2021-07-28 00:00:00,2022-05-15 00:00:00,N0.7478028085234889
1777,report777,2021-12-09 00:00:00,2022-05-10 00:00:00,N0.18042462633878198
1778,report778,2021-07-03 00:00:00,2022-08-23 00:00:00,N0.029339246887413295
1779,report779,2021-02-28 00:00:00,2022-08-16 00:00:00,N0.0893549652891864
1780,report780,2021-03-24 00:00:00,2022-01-19 00:00:00,N0.6531024541536284
1781,report781,2021-09-05 00:00:00,2022-12-19 00:00:00,N0.5472244693642756
1782,report782,2021-02-04 00:00:00,2022-10-14 00:00:00,N0.09542954137417181
1783,report783,2021-04-26 00:00:00,2022-11-02 00:00:00,N0.4678007027833
1784,report784,2021-06-26 00:00:00,2022-04-10 00:00:00,N0.033440674444535134
1785,report785,2021-03-21 00:00:00,2022-09-03 00:00:00,N0.910089019175531
1786,report786,2021-01-12 00:00:00,2022-11-01 00:00:00,N0.7298660652740186
1787,report787,2021-08-14 00:00:00,2022-04-17 00:00:00,N0.11812131472937526
1788,report788,2021-04-24 00:00:00,2022-09-29 00:00:00,N0.8210939663711166
1789,report789,2021-03-29 00:00:00,2022-01-14 00:00:00,N0.7769881393798802
1790,report790,2021-10-21 00:00:00,2022-06-11 00:00:00,N0.7184158030027968
1791,report791,2021-03-24 00:00:00,2022-04-26 00:00:00,N0.06457008362881134
1792,report792,2021-02-21 00:00:00,2022-11-16 00:00:00,N0.8911480547359806
1793,report793,2021-07-26 00:00:00,2022-12-24 00:00:00,N0.4592868839402553
1794,report794,2021-03-03 00:00:00,2022-08-09 00:00:00,N0.5081146436315386
1795,report795,2021-07-07 00:00:00,2022-11-09 00:00:00,N0.6893451151365986
1796,report796,2021-06-19 00:00:00,2022-03-19 00:00:00,N0.10963658667064324
1797,report797,2021-07-02 00:00:00,2022-04-29 00:00:00,N0.84232841401586
1798,report798,2021-08-18 00:00:00,2022-06-13 00:00:00,N0.6148971905654013
1799,report799,2021-11-07 00:00:00,2022-02-24 00:00:00,N0.5888694508093997
1800,report800,2021-03-20 00:00:00,2022-02-25 00:00:00,N0.6635773583524768
1801,report801,2021-02-01 00:00:00,2022-11-24 00:00:00,N0.8675807858128954
1802,report802,2021-06-04 00:00:00,2022-02-06 00:00:00,N0.3537583637538293
1803,report803,2021-12-09 00:00:00,2022-07-25 00:00:00,N0.3238930367178575
1804,report804,2021-06-05 00:00:00,2022-12-19 00:00:00,N0.7818135811111128
1805,report805,2021-08-21 00:00:00,2022-04-04 00:00:00,N0.6926775787621717
1806,report806,2021-11-20 00:00:00,2022-12-05 00:00:00,N0.49529087626716983
1807,report807,2021-03-02 00:00:00,2022-05-22 00:00:00,N0.7522842605568778
1808,report808,2021-01-03 00:00:00,2022-10-07 00:00:00,N0.3937268200665087
1809,report809,2021-05-09 00:00:00,2022-01-05 00:00:00,N0.2267179499235984
1810,report810,2021-03-12 00:00:00,2022-07-01 00:00:00,N0.15945013491227145
1811,report811,2021-10-09 00:00:00,2022-04-24 00:00:00,N0.6130866725884154
1812,report812,2021-11-08 00:00:00,2022-07-12 00:00:00,N0.7130853311334091
1813,report813,2021-05-25 00:00:00,2022-11-10 00:00:00,N0.03827328326119728
1814,report814,2021-12-04 00:00:00,2022-03-10 00:00:00,N0.4721679816305041
1815,report815,2021-02-12 00:00:00,2022-12-26 00:00:00,N0.3501246935307194
1816,report816,2021-11-16 00:00:00,2022-09-11 00:00:00,N0.11518732096238038
1817,report817,2021-07-16 00:00:00,2022-04-20 00:00:00,N0.2092210448021843
1818,report818,2021-02-10 00:00:00,2022-12-02 00:00:00,N0.340434832518673
1819,report819,2021-09-16 00:00:00,2022-02-09 00:00:00,N0.38118443996327456
1820,report820,2021-01-22 00:00:00,2022-11-09 00:00:00,N0.08993426985664632
1821,report821,2021-11-22 00:00:00,2022-09-07 00:00:00,N0.9034041353706868
1822,report822,2021-10-16 00:00:00,2022-07-05 00:00:00,N0.11891167957688353
1823,report823,2021-08-28 00:00:00,2022-04-12 00:00:00,N0.5052663890457519
1824,report824,2021-04-12 00:00:00,2022-04-29 00:00:00,N0.31473006540511583
1825,report825,2021-02-04 00:00:00,2022-01-17 00:00:00,N0.4279072999939185
1826,report826,2021-10-27 00:00:00,2022-01-19 00:00:00,N0.5563521551900296
1827,report827,2021-04-30 00:00:00,2022-04-28 00:00:00,N0.7332481677447439
1828,report828,2021-07-07 00:00:00,2022-01-12 00:00:00,N0.4765186906762916
1829,report829,2021-07-04 00:00:00,2022-08-03 00:00:00,N0.5221954044082276
1830,report830,2021-11-16 00:00:00,2022-01-28 00:00:00,N0.9498159109108587
1831,report831,2021-12-18 00:00:00,2022-06-10 00:00:00,N0.3599734159205291
1832,report832,2021-05-01 00:00:00,2022-10-10 00:00:00,N0.9314208232313518
1833,report833,2021-12-05 00:00:00,2022-04-27 00:00:00,N0.6584137991720957
1834,report834,2021-08-30 00:00:00,2022-10-01 00:00:00,N0.4126678000367222
1835,report835,2021-10-11 00:00:00,2022-08-19 00:00:00,N0.9339216833704492
1836,report836,2021-10-15 00:00:00,2022-02-11 00:00:00,N0.8193590319228033
1837,report837,2021-10-27 00:00:00,2022-12-30 00:00:00,N0.29395126189578846
1838,report838,2021-11-01 00:00:00,2022-09-26 00:00:00,N0.30782319490806753
1839,report839,2021-03-23 00:00:00,2022-07-21 00:00:00,N0.5044639772798714
1840,report840,2021-12-21 00:00:00,2022-12-10 00:00:00,N0.025458919694637316
1841,report841,2021-07-03 00:00:00,2022-08-18 00:00:00,N0.6547464283209035
1842,report842,2021-08-26 00:00:00,2022-11-16 00:00:00,N0.8734259335963285
1843,report843,2021-05-31 00:00:00,2022-05-05 00:00:00,N0.025803199427824164
1844,report844,2021-01-26 00:00:00,2022-07-26 00:00:00,N0.5764581552075094
1845,report845,2021-02-18 00:00:00,2022-10-04 00:00:00,N0.09394198394523079
1846,report846,2021-06-04 00:00:00,2022-01-30 00:00:00,N0.2996965997556955
1847,report847,2021-04-22 00:00:00,2022-08-23 00:00:00,N0.32910071963761034
1848,report848,2021-11-29 00:00:00,2022-06-16 00:00:00,N0.4444661626209381
1849,report849,2021-03-11 00:00:00,2022-08-08 00:00:00,N0.9863230937622659
1850,report850,2021-06-18 00:00:00,2022-03-06 00:00:00,N0.6332239658831454
1851,report851,2021-09-09 00:00:00,2022-09-14 00:00:00,N0.6360931016176694
1852,report852,2021-12-29 00:00:00,2022-03-03 00:00:00,N0.46741513343494634
1853,report853,2021-10-02 00:00:00,2022-12-11 00:00:00,N0.030401191498717672
1854,report854,2021-01-29 00:00:00,2022-10-18 00:00:00,N0.1769760883050291
1855,report855,2021-12-07 00:00:00,2022-11-14 00:00:00,N0.1069895676571595
1856,report856,2021-05-08 00:00:00,2022-06-20 00:00:00,N0.08030887894425498
1857,report857,2021-11-27 00:00:00,2022-06-11 00:00:00,N0.24050967896923836
1858,report858,2021-11-08 00:00:00,2022-06-03 00:00:00,N0.8362734500627796
1859,report859,2021-07-31 00:00:00,2022-06-24 00:00:00,N0.059094408538394205
1860,report860,2021-01-07 00:00:00,2022-10-11 00:00:00,N0.2545959641967881
1861,report861,2021-11-23 00:00:00,2022-05-05 00:00:00,N0.42556770845493996
1862,report862,2021-09-20 00:00:00,2022-10-10 00:00:00,N0.5333996644785582
1863,report863,2021-03-19 00:00:00,2022-06-10 00:00:00,N0.7412544891600502
1864,report864,2021-11-15 00:00:00,2022-07-14 00:00:00,N0.5597980783314037
1865,report865,2021-10-26 00:00:00,2022-12-04 00:00:00,N0.38334503899264727
1866,report866,2021-01-30 00:00:00,2022-01-30 00:00:00,N0.5783589672024415
1867,report867,2021-10-06 00:00:00,2022-09-27 00:00:00,N0.9151680990730423
1868,report868,2021-01-14 00:00:00,2022-02-23 00:00:00,N0.2137998878732228
1869,report869,2021-07-13 00:00:00,2022-03-25 00:00:00,N0.8919002893542931
1870,report870,2021-11-18 00:00:00,2022-07-18 00:00:00,N0.5478998485822391
1871,report871,2021-12-17 00:00:00,2022-06-02 00:00:00,N0.16641197057428048
1872,report872,2021-09-02 00:00:00,2022-02-16 00:00:00,N0.9043230349331415
1873,report873,2021-08-20 00:00:00,2022-10-13 00:00:00,N0.9524657860691222
1874,report874,2021-06-04 00:00:00,2022-02-21 00:00:00,N0.34731853681464275
1875,report875,2021-09-02 00:00:00,2022-06-28 00:00:00,N0.34670090745383897
1876,report876,2021-03-28 00:00:00,2022-10-04 00:00:00,N0.5315281613184832
1877,report877,2021-11-09 00:00:00,2022-01-09 00:00:00,N0.6656903172523035
1878,report878,2021-10-20 00:00:00,2022-05-11 00:00:00,N0.028947930276208678
1879,report879,2021-01-23 00:00:00,2022-12-23 00:00:00,N0.13158314996907683
1880,report880,2021-12-29 00:00:00,2022-08-05 00:00:00,N0.8378720626879446
1881,report881,2021-09-02 00:00:00,2022-03-31 00:00:00,N0.4068489180339745
1882,report882,2021-08-01 00:00:00,2022-06-23 00:00:00,N0.7247368451883999
1883,report883,2021-12-20 00:00:00,2022-01-31 00:00:00,N0.19262140874433098
1884,report884,2021-01-27 00:00:00,2022-12-04 00:00:00,N0.9555594942455446
1885,report885,2021-02-10 00:00:00,2022-02-06 00:00:00,N0.013390083288480237
1886,report886,2021-08-21 00:00:00,2022-11-24 00:00:00,N0.6482110168294134
1887,report887,2021-12-28 00:00:00,2022-02-08 00:00:00,N0.23490089404722958
1888,report888,2021-09-04 00:00:00,2022-11-27 00:00:00,N0.8636057383244614
1889,report889,2021-08-14 00:00:00,2022-05-23 00:00:00,N0.32262157098265765
1890,report890,2021-03-28 00:00:00,2022-02-22 00:00:00,N0.42948219297329293
1891,report891,2021-10-15 00:00:00,2022-08-16 00:00:00,N0.5379817405281175
1892,report892,2021-08-20 00:00:00,2022-05-11 00:00:00,N0.5561793728852215
1893,report893,2021-07-18 00:00:00,2022-06-18 00:00:00,N0.7369548959219093
1894,report894,2021-07-14 00:00:00,2022-08-21 00:00:00,N0.35999512671058886
1895,report895,2021-02-18 00:00:00,2022-03-08 00:00:00,N0.9780354764082113
1896,report896,2021-06-22 00:00:00,2022-09-30 00:00:00,N0.07558621906611163
1897,report897,2021-04-26 00:00:00,2022-08-07 00:00:00,N0.3993638719784981
1898,report898,2021-07-23 00:00:00,2022-06-28 00:00:00,N0.3174353529452183
1899,report899,2021-10-14 00:00:00,2022-04-06 00:00:00,N0.5496480126519339
1900,report900,2021-05-24 00:00:00,2022-08-28 00:00:00,N0.6725279735496235
1901,report901,2021-02-18 00:00:00,2022-10-29 00:00:00,N0.633123262980501
1902,report902,2021-08-01 00:00:00,2022-02-07 00:00:00,N0.8870298160009518
1903,report903,2021-06-20 00:00:00,2022-06-01 00:00:00,N0.45591963728785134
1904,report904,2021-06-06 00:00:00,2022-08-07 00:00:00,N0.48020789017260623
1905,report905,2021-07-29 00:00:00,2022-03-25 00:00:00,N0.022827213793844225
1906,report906,2021-07-24 00:00:00,2022-04-10 00:00:00,N0.6229176767663558
1907,report907,2021-07-03 00:00:00,2022-04-12 00:00:00,N0.4037520177033075
1908,report908,2021-02-10 00:00:00,2022-06-03 00:00:00,N0.3719004155141059
1909,report909,2021-09-18 00:00:00,2022-07-30 00:00:00,N0.9505186699491979
1910,report910,2021-12-14 00:00:00,2022-09-11 00:00:00,N0.7782285786668455
1911,report911,2021-02-02 00:00:00,2022-07-05 00:00:00,N0.7269418755167938
1912,report912,2021-07-13 00:00:00,2022-01-29 00:00:00,N0.9761570409242705
1913,report913,2021-02-02 00:00:00,2022-08-11 00:00:00,N0.9727436013274654
1914,report914,2021-08-25 00:00:00,2022-01-05 00:00:00,N0.5572334548958251
1915,report915,2021-06-29 00:00:00,2022-04-11 00:00:00,N0.7193305695652505
1916,report916,2021-09-01 00:00:00,2022-05-14 00:00:00,N0.5967313070451048
1917,report917,2021-04-24 00:00:00,2022-06-10 00:00:00,N0.46774483948563705
1918,report918,2021-12-01 00:00:00,2022-04-17 00:00:00,N0.8184160921889475
1919,report919,2021-11-14 00:00:00,2022-07-02 00:00:00,N0.5467353177187049
1920,report920,2021-04-14 00:00:00,2022-12-27 00:00:00,N0.15575394305303814
1921,report921,2021-11-15 00:00:00,2022-01-01 00:00:00,N0.6566200738728225
1922,report922,2021-02-25 00:00:00,2022-12-31 00:00:00,N0.5910862838823124
1923,report923,2021-08-30 00:00:00,2022-12-23 00:00:00,N0.32219164678063317
1924,report924,2021-09-22 00:00:00,2022-06-30 00:00:00,N0.8290987066285535
1925,report925,2021-02-01 00:00:00,2022-06-03 00:00:00,N0.4842936161671445
1926,report926,2021-10-31 00:00:00,2022-09-23 00:00:00,N0.9567560972869058
1927,report927,2021-02-24 00:00:00,2022-02-11 00:00:00,N0.1385957441924186
1928,report928,2021-02-04 00:00:00,2022-11-08 00:00:00,N0.4549609046267097
1929,report929,2021-04-03 00:00:00,2022-07-01 00:00:00,N0.05514951221818776
1930,report930,2021-04-02 00:00:00,2022-12-03 00:00:00,N0.6103254035053801
1931,report931,2021-09-14 00:00:00,2022-04-13 00:00:00,N0.9600182596249641
1932,report932,2021-07-26 00:00:00,2022-03-23 00:00:00,N0.24250183105252798
1933,report933,2021-03-29 00:00:00,2022-10-24 00:00:00,N0.25625593278313186
1934,report934,2021-12-10 00:00:00,2022-04-07 00:00:00,N0.5523029214530296
1935,report935,2021-07-24 00:00:00,2022-09-25 00:00:00,N0.9195642680339893
1936,report936,2021-11-01 00:00:00,2022-12-13 00:00:00,N0.29303261600201025
1937,report937,2021-10-17 00:00:00,2022-10-09 00:00:00,N0.6442778816666024
1938,report938,2021-08-19 00:00:00,2022-10-30 00:00:00,N0.40844641470428555
1939,report939,2021-12-31 00:00:00,2022-05-02 00:00:00,N0.8943026462674766
1940,report940,2021-06-20 00:00:00,2022-01-06 00:00:00,N0.6868948120246204
1941,report941,2021-07-27 00:00:00,2022-05-09 00:00:00,N0.6061905444722617
1942,report942,2021-06-20 00:00:00,2022-07-24 00:00:00,N0.6821120869001512
1943,report943,2021-04-12 00:00:00,2022-07-17 00:00:00,N0.7722732915451296
1944,report944,2021-04-27 00:00:00,2022-08-22 00:00:00,N0.9093047811776356
1945,report945,2021-11-02 00:00:00,2022-10-24 00:00:00,N0.7691018093907733
1946,report946,2021-10-16 00:00:00,2022-02-19 00:00:00,N0.07325637891524028
1947,report947,2021-09-18 00:00:00,2022-10-12 00:00:00,N0.8319898916812164
1948,report948,2021-08-12 00:00:00,2022-07-28 00:00:00,N0.32468818602122784
1949,report949,2021-10-08 00:00:00,2022-03-29 00:00:00,N0.3025599988290595
1950,report950,2021-08-19 00:00:00,2022-09-04 00:00:00,N0.29199394411125723
1951,report951,2021-08-24 00:00:00,2022-09-07 00:00:00,N0.6780301921861708
1952,report952,2021-05-30 00:00:00,2022-08-07 00:00:00,N0.9708643838595686
1953,report953,2021-03-01 00:00:00,2022-11-21 00:00:00,N0.99124178019301
1954,report954,2021-03-24 00:00:00,2022-11-15 00:00:00,N0.13129120778690373
1955,report955,2021-07-20 00:00:00,2022-08-31 00:00:00,N0.28951947410218526
1956,report956,2021-10-13 00:00:00,2022-05-05 00:00:00,N0.9180494593255604
1957,report957,2021-06-11 00:00:00,2022-10-27 00:00:00,N0.5688239730731994
1958,report958,2021-09-19 00:00:00,2022-08-12 00:00:00,N0.27438373616775447
1959,report959,2021-11-09 00:00:00,2022-02-10 00:00:00,N0.36060730780134853
1960,report960,2021-05-25 00:00:00,2022-01-15 00:00:00,N0.5879270469618941
1961,report961,2021-03-07 00:00:00,2022-04-13 00:00:00,N0.984863356480905
1962,report962,2021-01-04 00:00:00,2022-02-16 00:00:00,N0.18072245424126288
1963,report963,2021-08-20 00:00:00,2022-06-19 00:00:00,N0.09337619231464855
1964,report964,2021-12-17 00:00:00,2022-02-08 00:00:00,N0.895050747413453
1965,report965,2021-05-25 00:00:00,2022-11-07 00:00:00,N0.039438881430764794
1966,report966,2021-12-06 00:00:00,2022-02-08 00:00:00,N0.13498259638349774
1967,report967,2021-04-14 00:00:00,2022-07-01 00:00:00,N0.2960756265240829
1968,report968,2021-10-06 00:00:00,2022-03-31 00:00:00,N0.7135814072070883
1969,report969,2021-08-23 00:00:00,2022-09-26 00:00:00,N0.974167393373401
1970,report970,2021-04-19 00:00:00,2022-03-01 00:00:00,N0.906552564676819
1971,report971,2021-12-09 00:00:00,2022-11-09 00:00:00,N0.352756751804446
1972,report972,2021-03-05 00:00:00,2022-04-02 00:00:00,N0.5287496174514552
1973,report973,2021-04-07 00:00:00,2022-07-09 00:00:00,N0.43782648222777887
1974,report974,2021-01-23 00:00:00,2022-02-20 00:00:00,N0.5533875350891111
1975,report975,2021-05-27 00:00:00,2022-08-01 00:00:00,N0.9817203236189427
1976,report976,2021-09-19 00:00:00,2022-11-03 00:00:00,N0.1327132186196468
1977,report977,2021-03-23 00:00:00,2022-09-04 00:00:00,N0.8011640623223437
1978,report978,2021-03-22 00:00:00,2022-02-26 00:00:00,N0.19950648587859032
1979,report979,2021-05-04 00:00:00,2022-09-12 00:00:00,N0.7011462803645697
1980,report980,2021-08-13 00:00:00,2022-08-26 00:00:00,N0.5451659806074577
1981,report981,2021-04-21 00:00:00,2022-03-20 00:00:00,N0.3201086136613479
1982,report982,2021-12-21 00:00:00,2022-10-29 00:00:00,N0.6955485285637424
1983,report983,2021-01-01 00:00:00,2022-04-14 00:00:00,N0.468176493976042
1984,report984,2021-02-06 00:00:00,2022-07-24 00:00:00,N0.4098461895545994
1985,report985,2021-11-30 00:00:00,2022-11-22 00:00:00,N0.3228142375762858
1986,report986,2021-07-26 00:00:00,2022-05-05 00:00:00,N0.6417762414809907
1987,report987,2021-10-30 00:00:00,2022-04-03 00:00:00,N0.9878324452645323
1988,report988,2021-06-28 00:00:00,2022-05-24 00:00:00,N0.658239112473883
1989,report989,2021-04-19 00:00:00,2022-06-25 00:00:00,N0.6882478669223849
1990,report990,2021-08-15 00:00:00,2022-06-03 00:00:00,N0.4126787819301856
1991,report991,2021-06-29 00:00:00,2022-03-24 00:00:00,N0.8335380428110275
1992,report992,2021-09-04 00:00:00,2022-11-21 00:00:00,N0.4697122242519248
1993,report993,2021-07-16 00:00:00,2022-06-05 00:00:00,N0.28509235463590465
1994,report994,2021-08-08 00:00:00,2022-08-19 00:00:00,N0.0025042272181748926
1995,report995,2021-03-06 00:00:00,2022-01-28 00:00:00,N0.16551514025860448
1996,report996,2021-05-15 00:00:00,2022-01-04 00:00:00,N0.3371614029535893
1997,report997,2021-05-30 00:00:00,2022-08-13 00:00:00,N0.7318647913243687
1998,report998,2021-09-20 00:00:00,2022-09-19 00:00:00,N0.15120562108048552
1999,report999,2021-12-24 00:00:00,2022-02-24 00:00:00,N0.8334772909559109
2000,report1,2021-03-18 00:00:00,2022-10-17 00:00:00,N0.9454016244792367
2001,report2,2021-04-09 00:00:00,2022-03-01 00:00:00,N0.16686912518457597
2002,report3,2021-06-15 00:00:00,2022-03-13 00:00:00,N0.7127166854350083
2003,report4,2021-02-04 00:00:00,2022-10-13 00:00:00,N0.41467531052738216
2004,report5,2021-04-28 00:00:00,2022-05-25 00:00:00,N0.9652944742272312
2005,report6,2021-03-25 00:00:00,2022-06-04 00:00:00,N0.9787272075831757
2006,report7,2021-02-10 00:00:00,2022-09-21 00:00:00,N0.018225875110464695
2007,report8,2021-09-12 00:00:00,2022-05-07 00:00:00,N0.7209417874594795
2008,report9,2021-06-01 00:00:00,2022-08-31 00:00:00,N0.6342526036315234
2009,report10,2021-09-12 00:00:00,2022-08-31 00:00:00,N0.0805001511557002
2010,report11,2021-09-11 00:00:00,2022-11-14 00:00:00,N0.3224274579293155
2011,report12,2021-06-30 00:00:00,2022-08-16 00:00:00,N0.19569126740098908
2012,report13,2021-03-26 00:00:00,2022-04-21 00:00:00,N0.4393218653097858
2013,report14,2021-05-07 00:00:00,2022-06-05 00:00:00,N0.15253327727386146
2014,report15,2021-05-04 00:00:00,2022-12-03 00:00:00,N0.5122403897761173
2015,report16,2021-08-21 00:00:00,2022-10-13 00:00:00,N0.16492167832589244
2016,report17,2021-02-17 00:00:00,2022-11-08 00:00:00,N0.42792676345249026
2017,report18,2021-03-09 00:00:00,2022-11-18 00:00:00,N0.4244924708003259
2018,report19,2021-06-25 00:00:00,2022-03-22 00:00:00,N0.27079358242521057
2019,report20,2021-04-30 00:00:00,2022-11-26 00:00:00,N0.5957701959619391
2020,report21,2021-08-12 00:00:00,2022-09-27 00:00:00,N0.29849151023507947
2021,report22,2021-02-08 00:00:00,2022-08-06 00:00:00,N0.8937949072346895
2022,report23,2021-03-19 00:00:00,2022-07-29 00:00:00,N0.2509934937761169
2023,report24,2021-09-08 00:00:00,2022-07-27 00:00:00,N0.10877630413933437
